Ad Performance Report (in UTC)
"Report Start: June 1, 2026, 12:00 AM"
"Report End: July 7, 2026, 11:59 PM"
"Date Generated: July 7, 2026, 7:43 PM"

Start Date (in UTC)	Account Name	Currency	Campaign ID	Campaign Name	Campaign Status	Campaign Start Date	Ad Set ID	Ad Set Name	Ad Set Objective	Ad Set Type	Ad Set Status	Cost Type	Total Budget	Ad Set Start Date	Ad Set End Date	Ad Name	Ad ID	Ad Status	Ad Introduction Text	Ad Headline	Ad Line	Click URL	Sponsored Update Type	DSC Name	Total Spent	Impressions	Clicks	Click Through Rate	Average CPM	Average CPC	Reactions	Comments	Shares	Follows	Other Clicks	Total Social Actions	Total Engagements	Engagement Rate	Viral Impressions	Viral Clicks	Viral Reactions	Viral Comments	Viral Shares	Viral Follows	Viral Other Clicks	Conversions	Post-Click Conversions	View-Through Conversions	Conversion Rate	Cost per Conversion	Total Conversion Value	Return on Ad Spend	Viral Conversions	Viral Post-Click Conversions	Viral View-Through Conversions	Leads	Lead Forms Opened	Lead Form Completion Rate	Cost per Lead	Appointments Booked	Reach	Average Frequency	"Cost per 1,000 People Reached"	Event Registrations	Click Event Registrations	View Event Registrations	Viral Event Registrations	Viral Click Event Registrations	Viral View Event Registrations	Clicks to Landing Page	Clicks to LinkedIn Page	Download Clicks	Viral Download Clicks	Document Displays at 25%	Viral Document Displays at 25%	Document Displays at 50%	Viral Document Displays at 50%	Document Displays at 75%	Viral Document Displays at 75%	Document Displays at 100%	Viral Document Displays at 100%	Preview Download Clicks	Viral Preview Download Clicks	Leads (Work Email)	Lead Form Completion Rate (Work Email)	Cost Per Lead (Work Email)	Member Follows	Clicks to Member Profile	Qualified Leads	Cost Per Qualified Lead	Average Dwell Time (in Seconds)	Subscriptions	Viral Subscriptions
6/16/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	2.59	5	0	0%	517.79	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	5	1	517.79	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	2.0002	0	0
6/17/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	5.35	10	0	0%	534.78	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	10	1	534.78	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	4.0394	0	0
6/18/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	3.54	11	0	0%	322.09	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	11	1	322.09	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	2.2025454545	0	0
6/19/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	4.96	10	0	0%	496.05	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	9	1.111	551.17	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	5.8117	0	0
6/20/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	6.64	9	0	0%	737.84	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	9	1	737.84	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	4.3446666667	0	0
6/21/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	8.54	8	1	12.5%	"1,067.29"	8.54	0	0	0	0	0	0	1	12.5%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	8	1	"1,067.29"	0	0	0	0	0	0	1	0													0	0%	0.00	0	0	0	0.00	0.8635714286	0	0
6/22/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	8.99	10	0	0%	899.25	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	9	1.111	999.16	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	4.7096	0	0
6/23/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	5.81	6	1	16.667%	968.18	5.81	0	0	0	0	0	0	1	16.667%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	6	1	968.18	0	0	0	0	0	0	1	0													0	0%	0.00	0	0	0	0.00	5.1772	0	0
6/24/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	1.78	3	0	0%	592.65	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	3	1	592.65	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	3.2196666667	0	0
6/25/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	7.27	6	0	0%	"1,211.67"	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	5	1.2	"1,454.01"	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	1.4346666667	0	0
